scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
IFxuBs8AAAAJ,_vMVPbMAAAAJ,Jorge Ramos Grez,Pontificia Universidad Católica de Chile
gWwK3CQAAAAJ,NbMzEWUAAAAJ,Eduardo Quiroga,"Profesor adjunto, Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaíso."
gWwK3CQAAAAJ,-Yg6gMoAAAAJ,Tatiana Hromic,"Instituto de la Patagonia, Universidad de Magallanes"
ZWJz4ggAAAAJ,6CK-aB0AAAAJ,Adolfo J. A. Salgado-Casanova,"PhD Student, Northwestern University"
ZWJz4ggAAAAJ,M8-DAsMAAAAJ,Ximena Garcia,"Profesor Titular Universidad de Concepción, Chile"
ZWJz4ggAAAAJ,xD9OQosAAAAJ,Fernando Vallejos-Burgos,Materials Scientist at Morgan Advanced Materials
ZWJz4ggAAAAJ,JMUrxrYAAAAJ,Christopher D. Latham,Independent
ZWJz4ggAAAAJ,HkrENbgAAAAJ,Patrick Briddon,"Professor of Computational Physics, University of Newcastle"
_Sybxw4AAAAJ,67H3HyIAAAAJ,ruben pena,"university of nottingham, university of magallanes, university of concepcion"
_Sybxw4AAAAJ,tMePGoEAAAAJ,Ramon Blasco-Gimenez,Professor - Universitat Politècnica de València
gkLJQN0AAAAJ,b3y2fQUAAAAJ,Ricardo Rozzi,"Professor, Dep. of Philosophy, University of North Texas (USA) & Inst. of Ecology and Biodiversity"
gkLJQN0AAAAJ,PStnkPAAAAAJ,Ricardo Jana,Chilean Antarctic Institute
gkLJQN0AAAAJ,O4RgFGMAAAAJ,Christoph Schneider,Humboldt-Universität zu Berlin
gkLJQN0AAAAJ,TpExxa8AAAAJ,Tobias Sauter,Humboldt-Universität zu Berlin
gkLJQN0AAAAJ,Auy6bPcAAAAJ,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica
gkLJQN0AAAAJ,NSiHNb4AAAAJ,Claudio Quilodrán,"Postdoctoral researcher, University of Oxford - University of Geneva"
0eVddrQAAAAJ,wsiQRwMAAAAJ,Benjamin Bedregal,Universidade Federal do Rio Grande do Norte
0eVddrQAAAAJ,9SI4W2kAAAAJ,Humberto Bustince,"Professor of Computer Science, Universidad Publica de Navarra"
0eVddrQAAAAJ,TdMFQkUAAAAJ,Nicolás Zumelzu,Universidad de Magallanes
1ewmOJEAAAAJ,ncL44GkAAAAJ,Marcelo Navarrete,"Professor of Molecular Medicine, University of Magallanes"
1ewmOJEAAAAJ,NLWV_0sAAAAJ,Roberto Uribe Paredes,"Universidad de Magallanes, University of Magallanes"
1ewmOJEAAAAJ,wcRgbSwAAAAJ,Julieta Sepulveda-Yañez,University of Magallanes
1ewmOJEAAAAJ,Mu139UwAAAAJ,David Medina-Ortiz,Universidad de Magallanes
N9VGd6AAAAAJ,GyztA5IAAAAJ,daniel matus,Universidad de Magallanes
wcRgbSwAAAAJ,ncL44GkAAAAJ,Marcelo Navarrete,"Professor of Molecular Medicine, University of Magallanes"
wcRgbSwAAAAJ,dQPhNcYAAAAJ,Kees van Bergen,Leiden University Medical Center
wcRgbSwAAAAJ,wePN6vgAAAAJ,Pablo Oppezzo,Institut Pasteur de Montevideo
